Name,cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
MMC,0,0.0110821290293952,0.0001618682438403,2719672.5,0.3100785185362796,0.0020734235882424,0.0192307692307692,0.2025316455696161,0.8216,33141.94255111977
TPR,0,0.0234890971628134,0.0052449341315148,3050315.45,0.653093394409658,0.1047409040793825,0.0355289421157684,0.6573033707865173,0.501,159164.59081836327
INFO,0,0.0132614972153428,-0.0016866712961724,2588191.2,0.3826794461598188,-0.0348290598290597,0.0222492804959044,0.0298507462686577,0.4517,36696.015054239535
GE,-1,0.0240789258097976,-0.0094968653563269,117014345.5,0.4152111054433198,-0.1783405172413792,0.0177049180327868,0.0,0.1525,4984080.196721312
FDX,0,0.0110005734435076,-0.0031369628657422,1714708.8,0.3184394957679414,-0.0619981325863678,0.0237308381445351,0.4429530201342301,2.5115,6052.426836551861
XOM,0,0.0194740898175644,-0.0058091938927381,15202568.7,0.5283494043845991,-0.1132880027659329,0.0323628801663633,0.0080321285140546,0.7694,285864.95970886404
VRTX,0,0.0240432242873169,0.0001701624580777,2168864.25,0.4502804704147319,-0.0021793474777258,0.0288751846855528,0.0122358175750786,1.5567,11645.898374767135
DISCA,0,0.0310285437617081,0.0037477891782195,5435486.45,0.369618725934371,0.0678983833718245,0.0726643598615916,0.1845238095238109,0.2312,232343.81487889276
BBY,0,0.0223252497594406,0.0012884314773321,3369907.1,0.249503521794091,0.0212095156205216,0.0342408083076059,0.5696721311475418,0.7126,48670.09542520348
SO,0,0.0096921160490952,-0.0035858017921379,8998510.6,0.2101045472891182,-0.0701566187513408,0.0172127365020766,0.2091152815013477,0.4334,233625.33456391323
CHTR,0,0.0170310135159041,0.0013619050798281,1726228.9,0.6104755422776681,0.0247773142406134,0.028769082657131,0.3335882971603434,3.6355,4277.219089533764
COP,0,0.0158087227970553,-0.0019044509428935,6469696.6,0.2980006642254477,-0.0397030899361297,0.0240895200431421,0.0,0.5563,138803.70303792917
